Date,Perps,Spot
4/20/2024,357390700,98988000
4/21/2024,360846905,100562563
4/22/2024,360993194,96169729
4/23/2024,363055970,82919253
4/24/2024,362680631,73294085
4/25/2024,358908790,64731235
4/26/2024,360049171,78739018
4/27/2024,360533451,62882318
4/28/2024,359811442,70156276
4/29/2024,360599943,75286948
4/30/2024,361036234,72085506
5/1/2024,364760799,70501085
5/2/2024,361643342,54840742
5/3/2024,359283799,66284416
5/4/2024,360678324,64293822
5/5/2024,356274183,59305611
5/6/2024,354437240,66939220
5/7/2024,341061161,65635014
5/8/2024,341017889,68763166
5/9/2024,341670868,73140752
5/10/2024,348285834,88015769
5/11/2024,349172463,78476385
5/12/2024,348580538,83540705
5/13/2024,348527640,89216314
5/14/2024,347350086,89236154
5/15/2024,352970328,85968804
5/16/2024,351698616,92387113
5/17/2024,354803277,80698486
5/18/2024,354389620,77147135
5/19/2024,347896941,73444230
5/20/2024,345392197,72483588
5/21/2024,337839849,84777666
5/22/2024,342890788,82191587
5/23/2024,343196483,71175445
5/24/2024,352109716,65831433
5/25/2024,356578279,76054962
5/26/2024,357329441,81604246
5/27/2024,359088349,81537681
5/28/2024,363803965,84819952
5/29/2024,363217726,89085019
5/30/2024,366801941,115326354
5/31/2024,367033702,119671946
6/1/2024,378174353,114452395
6/2/2024,377147738,109189171
6/3/2024,377090149,113961557
6/4/2024,383328157,131486104
6/5/2024,382302972,142394106
6/6/2024,392381121,132983943
6/7/2024,392281929,126396241
6/8/2024,398970069,120211684
6/9/2024,397924944,122410505
6/10/2024,397931149,116390774
6/11/2024,394680846,109966119
6/12/2024,390681610,107492552
6/13/2024,391441218,112400918
6/14/2024,387360497,101181223
6/15/2024,385050820,103851033
6/16/2024,386877163,111726672
6/17/2024,390347910,117840001
6/18/2024,391078287,112800721
6/19/2024,386825468,111217078
6/20/2024,387241779,109378117
6/21/2024,382783357,104279881
6/22/2024,382473205,104319569
6/23/2024,382764065,104631941
6/24/2024,384810442,102850199
6/25/2024,381487463,102365950
6/26/2024,385981455,104584121
6/27/2024,389471486,101638403
6/28/2024,389294998,102367249
6/29/2024,384220235,102367249
6/30/2024,385961033,102367249
7/1/2024,384553394,148722144
7/2/2024,388140559,147803155
7/3/2024,391185136,153212731
7/4/2024,390849370,143715685
7/5/2024,387212148,137527806
7/6/2024,380284271,128208994
7/7/2024,380760942,140363131
7/8/2024,381897818,134948129
7/9/2024,379118808,147641292
7/10/2024,385819246,177995321
7/11/2024,391563399,179105933
7/12/2024,392799672,186933642
7/13/2024,391187773,208633334
7/14/2024,398223523,232885587
7/15/2024,400947300,230348840
7/16/2024,409835909,232436983
7/17/2024,411758307,237095387
7/18/2024,413878685,226258473
7/19/2024,414778619,230542750
7/20/2024,421146722,213215221
7/21/2024,418422213,222414579
7/22/2024,422537922,222736343
7/23/2024,422479515,225195098
7/24/2024,425672733,225183796
7/25/2024,429632290,205267878
7/26/2024,432229687,199299950
7/27/2024,437826822,218353516
7/28/2024,438322823,220647163
7/29/2024,442435187,223213318
7/30/2024,444840668,219994368
7/31/2024,443235247,214613783
8/1/2024,448914632,199568463
8/2/2024,449394069,192740821
8/3/2024,450243181,179830319
8/4/2024,459086806,167323654
8/5/2024,466667552,151004144
8/6/2024,447069564,151712767
8/7/2024,469578974,173349706
8/8/2024,482695623,188978322
8/9/2024,491550023,196112638
8/10/2024,495043512,185626935
8/11/2024,496424303,185158458
8/12/2024,497241322,172066694
8/13/2024,503103530,163603254
8/14/2024,507795216,171177103
8/15/2024,513919608,162650443
8/16/2024,526020511,160126642
8/17/2024,528625636,160498028
8/18/2024,535991996,163077368
8/19/2024,539394937,165620394
8/20/2024,539639124,171074551
8/21/2024,542259698,174309672
8/22/2024,545427757,176318209
8/23/2024,548063516,177214791
8/24/2024,554306024,174983973
8/25/2024,555493018,166534810
8/26/2024,557073391,165028770
8/27/2024,566040529,160401973
8/28/2024,569473064,152044860
8/29/2024,567727164,146414442
8/30/2024,564612835,135563983
8/31/2024,565749279,126557097
9/1/2024,564945252,132206928
9/2/2024,564077481,134871111
9/3/2024,560761083,136273793
9/4/2024,562637224,132911826
9/5/2024,551787774,120398273
9/6/2024,552782019,112201047
9/7/2024,556598416,100596400
9/8/2024,556268372,107849606
9/9/2024,558563815,113376973
9/10/2024,568421405,112527731
9/11/2024,570829670,111852133
9/12/2024,567809916,115272611
9/13/2024,572749803,113035275
9/14/2024,574809657,119813191
9/15/2024,574088230,119660427
9/16/2024,575657763,117036967
9/17/2024,571935672,121691443
9/18/2024,574928940,122258733
9/19/2024,580447034,117468711
9/20/2024,589853498,120693472
9/21/2024,581130604,127679474
9/22/2024,580179051,132775147
9/23/2024,577228613,135329876
9/24/2024,578160140,136555193
9/25/2024,581896356,130889599
9/26/2024,574275777,115894230
9/27/2024,584909679,123757032
9/28/2024,594180937,114521964
9/29/2024,597788572,113828424
9/30/2024,600567299,113077754
10/1/2024,600531234,109297689
10/2/2024,601583841,101941111
10/3/2024,598258790,101509170
10/4/2024,603144948,99301406
10/5/2024,608835568,110726011
10/6/2024,608468947,106468099
10/7/2024,611280438,101799339
10/8/2024,600842167,108890415
10/9/2024,599602738,94447478
10/10/2024,598005750,98447788
10/11/2024,600639776,97260464
10/12/2024,606533241,103417530
10/13/2024,614377470,104343794
10/14/2024,613998115,102182403
10/15/2024,623312174,124303240
10/16/2024,626324320,122753401
10/17/2024,623314412,122523620
10/18/2024,622844709,119762613
10/19/2024,626814181,124588753
10/20/2024,628984148,131870437
10/21/2024,630249322,129882509
10/22/2024,628135860,127701535
10/23/2024,629618702,125938275
10/24/2024,637472532,125309873
10/25/2024,642696254,156244658
10/26/2024,636950770,158985461
10/27/2024,635414593,157522934
